City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,stanley,54.868,-1.6985,55.89,81,20,6.91,GB,1685225440
111,kaiama,9.6225,3.9481,78.57,78,99,6.58,NG,1685225441
112,ciudad lazaro cardenas,17.9583,-102.2,88.2,59,1,9.71,MX,1685225441
113,commerce,34.0006,-118.1598,79.54,61,75,11.5,US,1685225442
114,tura,25.5198,90.2201,69.26,85,1,2.44,IN,1685225442
115,tezu,27.9167,96.1667,70.52,67,28,3.44,IN,1685225442
116,mercedes,-34.6515,-59.4307,49.86,56,75,7.34,AR,1685225443
117,toba,34.4833,136.85,68.0,73,91,5.61,JP,1685225443
118,vernon,50.2581,-119.2691,84.92,26,66,4.63,CA,1685225444
119,lazaro cardenas,17.9583,-102.2,88.2,59,1,9.71,MX,1685225371
120,beaver dam,43.4578,-88.8373,76.21,21,0,8.05,US,1685225444
121,bullsbrook,-31.6667,116.0,46.54,87,100,2.3,AU,1685225445
122,west island,-12.1568,96.8225,78.78,83,40,4.61,CC,1685225445
123,ilulissat,69.2167,-51.1,24.1,76,75,18.37,GL,1685225450
124,mugia,43.1041,-9.2179,61.92,92,59,4.72,ES,1685225451
125,chonchi,-42.6128,-73.8092,38.41,89,70,2.62,CL,1685225451
126,siwa oasis,29.2041,25.5195,73.51,56,12,14.47,EG,1685225451
127,kiruna,67.8557,20.2251,41.92,87,100,10.36,SE,1685225452
128,khandyga,62.6667,135.6,48.29,73,35,2.89,RU,1685225452
129,talnakh,69.4865,88.3972,40.21,82,66,9.84,RU,1685225453
130,sarauli,28.5,79.1,77.29,58,0,3.89,IN,1685225453
131,gobabis,-22.45,18.9667,70.43,29,98,9.78,NA,1685225453
132,petropavlovsk-kamchatsky,53.0452,158.6483,45.19,76,75,2.24,RU,1685225454
133,sechura,-5.5569,-80.8222,82.13,60,75,16.55,PE,1685225454
134,udachny,66.4167,112.4,50.45,66,93,5.64,RU,1685225460
135,weno,7.4515,151.8468,84.15,84,100,9.22,FM,1685225460
136,san luis de la loma,17.2706,-100.8939,89.65,54,6,9.24,MX,1685225460
137,muskogee,35.5834,-95.3336,83.98,40,0,0.0,US,1685225415
138,balad,34.0164,44.1453,85.57,17,32,7.02,IQ,1685225461
139,queenstown,-31.8976,26.8753,46.22,33,0,5.26,ZA,1685225461
140,chui,-33.6971,-53.4616,54.0,61,74,13.02,UY,1685225461
141,phulbani,20.4667,84.2333,78.3,52,2,3.13,IN,1685225462
142,hermanus,-34.4187,19.2345,49.8,58,68,3.8,ZA,1685225463
143,kurumkan,54.3,110.3,47.77,67,100,2.51,RU,1685225463
144,bardai,11.65,7.2333,83.14,56,100,11.63,NG,1685225464
145,san juan de miraflores,-12.1629,-76.9635,74.17,71,99,7.43,PE,1685225464
146,aurangabad,19.8833,75.3333,78.91,58,0,11.92,IN,1685225465
147,bandar-e genaveh,29.5791,50.517,85.05,51,15,5.55,IR,1685225466
148,portland,45.5234,-122.6762,76.66,54,79,5.99,US,1685224878
149,ar ruseris,11.8659,34.3869,78.94,66,100,7.29,SD,1685225467
150,luanda,-8.8368,13.2343,73.62,87,45,6.38,AO,1685225338
151,remire-montjoly,4.9167,-52.2667,77.04,94,0,2.3,GF,1685225469
152,bethel,41.3712,-73.414,78.4,41,0,8.05,US,1685225331
153,mogadishu,2.0371,45.3438,79.12,75,90,12.71,SO,1685225469
154,nyagan,62.1406,65.3936,60.22,87,98,7.63,RU,1685225470
155,novyy urgal,51.0736,132.5642,44.78,94,100,5.28,RU,1685225470
156,aitape,-3.1374,142.3475,79.12,87,94,4.07,PG,1685225471
157,harper,4.375,-7.7169,80.2,86,100,7.61,LR,1685225471
158,fale old settlement,-9.3852,-171.2468,83.37,77,31,11.48,TK,1685225472
159,carignano,44.9069,7.6732,68.72,82,100,2.66,IT,1685225472
160,coahuayana de hidalgo,18.7,-103.6583,90.63,51,0,8.05,MX,1685225473
161,bocaiuva,-17.1078,-43.815,72.9,41,70,1.99,BR,1685225473
162,dawesville,30.9224,-84.0091,80.67,44,0,10.36,US,1685225474
163,haiku-pauwela,20.9219,-156.3051,80.62,54,20,17.27,US,1685225474
164,yima,34.7381,111.8839,60.19,97,100,2.57,CN,1685225475
165,gundlupet,11.8,76.6833,71.91,82,28,3.91,IN,1685225476
166,wacheng,33.7833,114.5167,64.58,94,100,10.04,CN,1685225476
167,rancho palos verdes,33.7445,-118.387,74.98,75,75,14.97,US,1685225476
168,copala,16.65,-98.9833,88.12,61,16,8.93,MX,1685225477
169,strezhevoy,60.7333,77.5889,50.95,51,9,6.06,RU,1685225478
170,coronel dorrego,-38.7187,-61.2873,43.36,51,0,1.74,AR,1685225478
171,utrik,11.2278,169.8474,80.37,81,100,15.12,MH,1685225479
172,east london,-33.0153,27.9116,59.65,40,0,6.46,ZA,1685225480
173,santa cruz,-17.8,-63.1667,82.45,74,75,8.05,BO,1685225194
174,poli,-3.3333,36.8,57.31,91,89,5.37,TZ,1685225482
175,makaha,21.4694,-158.2175,84.11,55,0,4.41,US,1685225482
176,isafjordur,66.0755,-23.124,41.65,80,22,12.41,IS,1685225483
177,wailua homesteads,22.0669,-159.378,79.23,74,20,10.36,US,1685225483
178,bure,10.7,37.0667,65.43,72,100,0.56,ET,1685225484
